dcid	tpid
DC01276	TP00276
DC00622	TP01423
DC00486	TP00238
DC00170	TP00168
DC01344	TP00755
DC01655	TP00631
DC01814	TP01276
DC00693	TP01339
DC01432	TP00831
DC01030	TP01486
DC01016	TP00130
DC01653	TP00660
DC00887	TP00171
DC00611	TP01471
DC00876	TP01322
DC01238	TP00655
DC01706	TP01200
DC01882	TP01371
DC01153	TP01125
DC00958	TP01254
DC01138	TP00818
DC00501	TP01576
DC00114	TP00765
DC00491	TP01161
DC00116	TP01328
DC00936	TP00346
DC00804	TP01188
DC01953	TP00227
DC01786	TP00944
DC00491	TP01172
DC01495	TP01157
DC00518	TP00130
DC00441	TP01082
DC01109	TP01512
DC00369	TP01090
DC01962	TP01167
DC01724	TP01326
DC01436	TP00808
DC00940	TP00339
DC00817	TP01280
DC01771	TP01603
DC00623	TP00984
DC00963	TP00680
DC00469	TP01175
DC00491	TP01223
DC00984	TP00214
DC01389	TP00205
DC01155	TP01378
DC00144	TP01422
DC00197	TP00833
DC01723	TP01317
DC01670	TP01208
DC01891	TP00230
DC01447	TP00310
DC00358	TP00339
DC00240	TP01586
DC00705	TP01340
DC00109	TP00788
DC00474	TP01538
DC00878	TP01335
DC01546	TP01319
DC01487	TP01563
DC00431	TP01624
DC00454	TP00732
DC01255	TP01564
DC00294	TP00393
DC00186	TP00826
DC01962	TP01165
DC00948	TP00375
DC00999	TP01205
DC01739	TP01479
DC01954	TP01263
DC01399	TP00711
DC01899	TP01437
DC01670	TP01239
DC00184	TP00817
DC00998	TP01015
DC01592	TP00292
DC01737	TP01157
DC01911	TP01251
DC01745	TP00981
DC01173	TP00630
DC00037	TP00655
DC01431	TP00830
DC00487	TP01259
DC00318	TP00417
DC00962	TP00790
DC00780	TP01303
DC01172	TP00941
DC00112	TP01327
DC00961	TP01590
DC00475	TP01640
DC00286	TP00405
DC00417	TP01586
DC01594	TP01200
DC01962	TP01166
DC01152	TP01378
DC01616	TP00690
DC01812	TP01446
DC00805	TP01534
DC00600	TP01377
DC01293	TP01465
DC00114	TP00766
DC00562	TP00266
DC01652	TP00655
DC01962	TP01182
DC01182	TP01038
DC01714	TP01440
DC01245	TP01350
DC00677	TP00843
DC00999	TP01162
DC00523	TP00130
DC00619	TP01352
DC01714	TP01421
DC00555	TP00807
DC01380	TP00807
DC01655	TP00656
DC00185	TP00807
DC00189	TP00807
DC00623	TP00982
DC00043	TP00800
DC00290	TP00358
DC00643	TP01533
DC00808	TP00197
DC01367	TP00745
DC00803	TP01484
DC01594	TP01187
DC01017	TP00131
DC01761	TP00195
DC01604	TP00145
DC00347	TP00382
DC01188	TP01013
DC00343	TP00375
DC01673	TP00950
DC01906	TP01435
DC01967	TP01151
DC01416	TP00709
DC01929	TP01421
DC01858	TP00655
DC01650	TP00668
DC00551	TP00745
DC01184	TP01063
DC00938	TP00402
DC01225	TP00745
DC00947	TP00416
DC00525	TP01432
DC01832	TP01601
DC01520	TP01362
DC01253	TP01445
DC00040	TP00390
DC00009	TP00332
DC01046	TP00745
DC00612	TP01506
DC00151	TP01091
DC01491	TP01433
DC01031	TP00937
DC01962	TP01197
DC01013	TP00131
DC01779	TP00775
DC01342	TP00745
DC01270	TP01404
DC01445	TP00335
DC01164	TP01068
DC00738	TP00700
DC00369	TP01100
DC00753	TP00686
DC01013	TP00132
DC01625	TP00635
DC00750	TP00651
DC00532	TP01093
DC00469	TP01216
DC00984	TP00213
DC00026	TP00651
DC00597	TP01633
DC01679	TP01618
DC01182	TP01007
DC00028	TP00651
DC01370	TP01560
DC01766	TP01100
DC01627	TP01388
DC00539	TP01421
DC01524	TP00651
DC00411	TP01407
DC01663	TP01059
DC00379	TP01545
DC00469	TP01164
DC01412	TP00726
DC01017	TP00132
DC00054	TP00804
DC01673	TP00956
DC01172	TP00940
DC01344	TP00759
DC00886	TP00619
DC01913	TP00409
DC00104	TP00651
DC00050	TP00803
DC01467	TP00651
DC00096	TP00651
DC00898	TP01395
DC01016	TP00133
DC00873	TP01432
DC00491	TP01222
DC01803	TP00215
DC01773	TP01329
DC01673	TP00959
DC00971	TP01571
DC01424	TP00651
DC01670	TP01183
DC00488	TP01076
DC00104	TP00626
DC01150	TP01372
DC01924	TP00156
DC01004	TP00290
DC01467	TP00626
DC01207	TP01397
DC01885	TP00971
DC00096	TP00626
DC01598	TP01590
DC01168	TP00656
DC01654	TP00656
DC00967	TP00202
DC00460	TP01140
DC00948	TP00356
DC01661	TP01558
DC00147	TP00133
DC00325	TP01529
DC01261	TP00291
DC01086	TP01598
DC00142	TP00242
DC00982	TP00183
DC01769	TP01252
DC01451	TP01383
DC00112	TP01333
DC01673	TP00955
DC00487	TP01268
DC00956	TP01552
DC01424	TP00626
DC00469	TP01181
DC01706	TP01187
DC00542	TP00636
DC01524	TP00626
DC01785	TP01095
DC01804	TP01343
DC00640	TP00153
DC01673	TP00953
DC01432	TP00830
DC00525	TP01450
DC01416	TP00710
DC01568	TP01373
DC00805	TP01535
DC00619	TP01354
DC01144	TP01133
DC01675	TP01159
DC01379	TP01572
DC00026	TP00626
DC00344	TP00403
DC01883	TP00280
DC00541	TP00223
DC00123	TP00602
DC00007	TP00650
DC01656	TP00662
DC01657	TP00653
DC01010	TP00134
DC00028	TP00626
DC00163	TP01466
DC00491	TP01191
DC00493	TP01453
DC01602	TP01604
DC00750	TP00626
DC00491	TP01256
DC00083	TP00422
DC01163	TP00631
DC00200	TP00650
DC00017	TP00625
DC00741	TP00595
DC01987	TP00170
DC01205	TP00963
DC00001	TP00585
DC01981	TP00950
DC01493	TP00550
DC01673	TP00957
DC01773	TP01326
DC00354	TP00423
DC00509	TP01570
DC00535	TP01428
DC01881	TP01190
DC00151	TP01101
DC01491	TP01434
DC00795	TP01561
DC01188	TP01044
DC01808	TP01482
DC00879	TP01334
DC01511	TP00646
DC00874	TP01559
DC00261	TP00326
DC00999	TP01204
DC00681	TP01323
DC00622	TP01444
DC00613	TP01065
DC01150	TP01359
DC01096	TP01026
DC01781	TP00302
DC00142	TP00262
DC02268	TP00550
DC01865	TP01489
DC01196	TP01100
DC00690	TP01021
DC00503	TP01400
DC01455	TP01094
DC01566	TP00295
DC01937	TP01151
DC01669	TP01219
DC00167	TP00368
DC02074	TP00550
DC02247	TP00550
DC00338	TP00162
DC01655	TP00630
DC01943	TP01063
DC00487	TP01225
DC00021	TP00630
DC01569	TP01593
DC01035	TP01390
DC01009	TP00135
DC01113	TP01275
DC00880	TP00136
DC01980	TP00973
DC01500	TP01360
DC00622	TP01443
DC02102	TP00550
DC00245	TP00370
DC00170	TP00172
DC00063	TP00267
DC00314	TP00411
DC01670	TP01248
DC01493	TP00507
DC00619	TP01364
DC00142	TP00256
DC01500	TP01361
DC01099	TP01058
DC01812	TP00224
DC00393	TP01398
DC02187	TP00419
DC02052	TP00775
DC02294	TP00775
DC01994	TP00614
DC02104	TP00537
DC02028	TP01151
DC02047	TP00306
DC02204	TP00489
DC02253	TP00367
DC02091	TP00418
DC02185	TP00525
DC02279	TP01404
DC02044	TP00410
DC02117	TP00607
DC02281	TP00410
DC02099	TP00559
DC01999	TP00988
DC02097	TP00340
DC02104	TP00494
DC02200	TP00468
DC02305	TP00939
DC02291	TP00775
DC02120	TP00568
DC02039	TP00571
DC02110	TP00419
DC02023	TP00521
DC02086	TP00537
DC02122	TP00544
DC02107	TP00521
DC02013	TP00557
DC02122	TP00501
DC02276	TP00460
DC02158	TP00493
DC02204	TP00575
DC02171	TP00612
DC02047	TP00308
DC02049	TP00545
DC02067	TP00307
DC02038	TP00463
DC02290	TP00438
DC02162	TP01585
DC01991	TP00331
DC02137	TP00445
DC02016	TP00578
DC02143	TP00331
DC02193	TP00939
DC02158	TP00579
DC02054	TP01139
DC02130	TP00395
DC02005	TP00306
DC02223	TP00421
DC02244	TP00582
DC02265	TP00466
DC02302	TP00444
DC02066	TP00513
DC02248	TP00305
DC02289	TP00478
DC02124	TP00414
DC02214	TP00562
DC02111	TP00568
DC02227	TP00594
DC02092	TP00437
DC02047	TP00307
DC02243	TP01081
DC02135	TP01320
DC02155	TP00764
DC02094	TP00317
DC02185	TP00482
DC02090	TP00489
DC02161	TP00520
DC02289	TP00521
DC02194	TP00568
DC02159	TP00321
DC02003	TP00419
DC02247	TP00507
DC02114	TP00557
DC02152	TP01602
DC02231	TP00410
DC02064	TP00988
DC02298	TP01313
DC02301	TP00410
DC02014	TP00446
DC02099	TP00473
DC02258	TP01467
DC02039	TP00485
DC02107	TP00478
DC02284	TP00580
DC02087	TP00438
DC02263	TP01078
DC02235	TP00471
DC02268	TP00507
DC02215	TP00331
DC02056	TP00557
DC02056	TP00514
DC02127	TP00414
DC02198	TP00840
DC02018	TP00459
DC02230	TP00419
DC02074	TP00507
DC02209	TP00471
DC02206	TP00525
DC02095	TP00525
DC02271	TP00463
DC02069	TP00473
DC02024	TP00541
DC02083	TP00306
DC01995	TP00212
DC02290	TP00437
DC02177	TP00775
DC02089	TP00580
DC02103	TP00568
DC02102	TP00507
DC02018	TP00545
DC02062	TP00555
DC02107	TP00564
DC02101	TP00557
DC02120	TP00525
DC02208	TP00537
DC02206	TP00568
DC02144	TP00596
DC01493	TP00464
DC02150	TP00990
DC02236	TP00537
DC02242	TP01586
DC02053	TP00552
DC02072	TP00597
DC02160	TP00565
DC02194	TP00525
DC02101	TP00514
DC02114	TP00471
DC02208	TP00580
DC02273	TP01404
DC02123	TP01632
DC02098	TP00467
DC02114	TP00514
DC02197	TP00586
DC02244	TP00539
DC02098	TP00510
DC02096	TP01297
DC02270	TP00560
DC02263	TP01077
DC02025	TP00501
DC02112	TP00510
DC02264	TP00331
DC02170	TP01151
DC02280	TP00568
DC02226	TP00775
DC02092	TP00439
DC02271	TP00549
DC02017	TP00306
DC02278	TP00308
DC02032	TP00466
DC02275	TP00580
DC02074	TP00464
DC02136	TP00501
DC02272	TP00530
DC02288	TP00527
DC02070	TP00482
DC02095	TP00482
DC02185	TP00568
DC02214	TP00519
DC02160	TP00479
DC02095	TP00568
DC02089	TP00494
DC02005	TP00308
DC02183	TP00510
DC02068	TP00494
DC02085	TP01335
DC02157	TP00439
DC02043	TP00618
DC02228	TP00593
DC02202	TP00598
DC02275	TP00537
DC02191	TP00515
DC02115	TP00495
DC02024	TP00455
DC02216	TP00583
DC02116	TP00540
DC01996	TP00494
DC02275	TP00494
DC02101	TP00471
DC02270	TP00474
DC02292	TP00471
DC02168	TP01321
DC02090	TP00532
DC02259	TP01628
DC02137	TP00444
DC02024	TP00498
DC02014	TP00445
DC02112	TP00467
DC02250	TP00553
DC02289	TP00564
DC02120	TP00482
DC02200	TP00554
DC02069	TP00516
DC02051	TP01521
DC02071	TP00308
DC02013	TP00514
DC02282	TP01582
DC02293	TP00449
DC02234	TP00517
DC02062	TP00512
DC02208	TP00494
DC02234	TP00560
DC02288	TP00570
DC02053	TP00509
DC02247	TP00464
DC02217	TP00568
DC02252	TP00521
DC01994	TP00615
DC02148	TP00444
DC02071	TP00306
DC02106	TP00981
DC02121	TP00306
DC02076	TP01530
DC02121	TP00307
DC02109	TP01637
DC02098	TP00553
DC02057	TP00426
DC02000	TP00378
DC02083	TP00307
DC02038	TP00549
DC02154	TP01285
DC02005	TP00307
DC02157	TP00437
DC02244	TP00496
DC02081	TP00304
DC02268	TP00464
DC02196	TP01081
DC02183	TP00553
DC02156	TP00521
DC02211	TP00580
DC02022	TP00419
DC02079	TP00840
DC02285	TP00410
DC02002	TP00514
DC02104	TP00580
DC02295	TP00494
DC02102	TP00464
DC02205	TP00426
DC02302	TP00446
DC02119	TP00694
DC02241	TP00410
DC02063	TP00457
DC02020	TP00553
DC02219	TP01628
DC02062	TP00469
DC02148	TP00446
DC02039	TP00528
DC02195	TP01269
DC02002	TP00557
DC02288	TP00484
DC02280	TP00525
DC02126	TP01315
DC02087	TP00439
DC02216	TP00540
DC02237	TP00435
DC02025	TP00458
DC02038	TP00506
DC02255	TP00695
DC02239	TP00433
DC02134	TP00429
DC02270	TP00517
DC02277	TP00491
DC02263	TP01079
DC00331	TP00344
DC02103	TP00482
DC02142	TP00597
DC02236	TP00494
DC02213	TP00456
DC02299	TP00424
DC02232	TP00463
DC02213	TP00499
DC02290	TP00439
DC00340	TP00344
DC02174	TP00483
DC02113	TP00437
DC02169	TP00331
DC02274	TP00590
DC02269	TP00296
DC02068	TP00537
DC02116	TP00497
DC02180	TP00359
DC02176	TP01151
DC02265	TP00509
DC02211	TP00494
DC02048	TP00523
DC02086	TP00580
DC02194	TP00482
DC02163	TP00482
DC02058	TP00557
DC02156	TP00564
DC02090	TP00575
DC02224	TP00419
DC02115	TP00581
DC02132	TP01586
DC02136	TP00458
DC02121	TP00308
DC02209	TP00557
DC02235	TP00514
DC02061	TP00678
DC02040	TP01081
DC02210	TP00769
DC00922	TP00344
DC02145	TP00482
DC01996	TP00580
DC02271	TP00506
DC02207	TP00572
DC02163	TP00568
DC02088	TP01404
DC02207	TP00486
DC02175	TP00537
DC02276	TP00546
DC02083	TP00308
DC02262	TP01628
DC02057	TP00425
DC02080	TP00601
DC02053	TP00466
DC02099	TP00516
DC02113	TP00438
DC02251	TP00502
DC02249	TP00567
DC02307	TP01405
DC02116	TP00583
DC00937	TP00344
DC02066	TP00470
DC02023	TP00478
DC02058	TP00514
DC02025	TP00544
DC02140	TP00524
DC02222	TP00410
DC02286	TP00569
DC02156	TP00478
DC00260	TP00344
DC02217	TP00525
DC00346	TP00344
DC02017	TP00308
DC02133	TP00378
DC02183	TP00467
DC02246	TP00586
DC02037	TP00682
DC02118	TP00608
DC02249	TP00524
DC02173	TP00419
DC02034	TP00331
DC02214	TP00476
DC02086	TP00494
DC02206	TP00482
DC02049	TP00502
DC02014	TP00444
DC02067	TP00306
DC02012	TP00543
DC02161	TP00477
DC00301	TP00344
DC02267	TP00981
DC02011	TP00580
DC02175	TP00494
DC00272	TP00344
DC02252	TP00564
DC02085	TP01329
DC02158	TP00536
DC01990	TP00316
DC02077	TP00340
DC02250	TP00467
DC02260	TP00586
DC02087	TP00437
DC02297	TP00445
DC02300	TP00508
DC02048	TP00480
DC02286	TP00483
DC02266	TP00354
DC02077	TP00325
DC00725	TP00344
DC02067	TP00308
DC02306	TP00309
DC02157	TP00438
DC02277	TP00577
DC02105	TP00525
DC02218	TP00419
DC02113	TP00439
DC02272	TP00573
DC00327	TP00344
DC00735	TP00278
DC00761	TP00217
DC02007	TP01083
DC02233	TP00501
DC02026	TP00419
DC02016	TP00492
DC02068	TP00580
DC02221	TP00694
DC00559	TP00217
DC00752	TP00217
DC02233	TP00544
DC00765	TP00217
DC01510	TP00217
DC02182	TP00466
DC01993	TP00306
DC02111	TP00525
DC02191	TP00472
DC02002	TP00471
DC02225	TP00604
DC02308	TP01632
DC02131	TP01596
DC02280	TP00482
DC01994	TP00613
DC02216	TP00497
DC02159	TP00319
DC02297	TP00444
DC00728	TP00217
DC02103	TP00525
DC02204	TP00532
DC02205	TP00427
DC02276	TP00503
DC02236	TP00580
DC02070	TP00568
DC02261	TP00775
DC02217	TP00482
DC02141	TP00574
DC02175	TP00580
DC02229	TP00336
DC02296	TP01300
DC01516	TP00174
DC02071	TP00307
DC02174	TP00526
DC02011	TP00537
DC02066	TP00556
DC01631	TP00174
DC02122	TP00458
DC02018	TP00502
DC02201	TP01408
DC02070	TP00525
DC01997	TP00588
DC02297	TP00446
DC02277	TP00534
DC02211	TP00537
DC02004	TP01086
DC02030	TP00421
DC02015	TP00556
DC02012	TP00457
DC02191	TP00558
DC02056	TP00471
DC02257	TP00447
DC02057	TP00427
DC01996	TP00537
DC01995	TP00210
DC02233	TP00458
DC02077	TP00432
DC02292	TP00557
DC02272	TP00487
DC02163	TP00525
DC00422	TP00163
DC00911	TP00163
DC02138	TP00367
DC02192	TP00478
DC02012	TP00500
DC02200	TP00511
DC02020	TP00467
DC01993	TP00307
DC02234	TP00474
DC02001	TP00419
DC02085	TP01326
DC02146	TP01404
DC02199	TP00434
DC02010	TP01631
DC02240	TP00395
DC02167	TP00418
DC02286	TP00526
DC02055	TP01135
DC02063	TP00500
DC02058	TP00471
DC02213	TP00542
DC00912	TP00163
DC02031	TP00500
DC02009	TP01404
DC02027	TP00787
DC00133	TP00155
DC02182	TP00552
DC01458	TP00155
DC02300	TP00551
DC01648	TP00155
DC02171	TP00611
DC01995	TP00211
DC02278	TP00307
DC02284	TP00494
DC01998	TP00840
DC02050	TP00410
DC02220	TP00414
DC02250	TP00510
DC02129	TP00600
DC02023	TP00564
DC02059	TP00323
DC02112	TP00553
DC02115	TP00538
DC02111	TP00482
DC02069	TP00559
DC02147	TP00588
DC02049	TP00459
DC02060	TP01410
DC02295	TP00537
DC02145	TP00525
DC02302	TP00445
DC02249	TP00481
DC02207	TP00529
DC02105	TP00482
DC02149	TP00447
DC00134	TP00155
DC00761	TP00138
DC02017	TP00307
DC02160	TP00522
DC02141	TP00531
DC01992	TP00412
DC02238	TP00318
DC02063	TP00543
DC02161	TP00563
DC02096	TP01294
DC02125	TP01638
DC02013	TP00471
DC02265	TP00552
DC02174	TP00569
DC02092	TP00438
DC02278	TP00306
DC01993	TP00308
DC02300	TP00465
DC02209	TP00514
DC02031	TP00457
DC02148	TP00445
DC02235	TP00557
DC02100	TP00923
DC02251	TP00459
DC02251	TP00545
DC02045	TP00413
DC02254	TP01314
DC02136	TP00544
DC02232	TP00506
DC02284	TP00537
DC02182	TP00509
DC02108	TP00378
DC02245	TP01085
DC02020	TP00510
DC02178	TP00600
DC02015	TP00513
DC02031	TP00543
DC02292	TP00514
DC02032	TP00552
DC02008	TP01636
DC02084	TP01146
DC02140	TP00481
DC02172	TP01585
DC02140	TP00567
DC02015	TP00470
DC02159	TP00320
DC02232	TP00549
DC02192	TP00521
DC02141	TP00488
DC02011	TP00494
DC02192	TP00564
DC02145	TP00568
DC02048	TP00566
DC02139	TP01413
DC02137	TP00446
DC02295	TP00580
DC02105	TP00568
DC02016	TP00535
DC02205	TP00425
DC02252	TP00478
DC02256	TP00593
DC02093	TP00419
DC02032	TP00509
DC02089	TP00537
