dcid	tpid
DC01668	TP00892
DC00757	TP00892
DC01098	TP00892
DC01059	TP00892
DC02181	TP00893
DC01620	TP00894
DC01551	TP00895
DC01552	TP00895
DC01216	TP00895
DC01552	TP00896
DC01551	TP00896
DC01216	TP00896
DC00403	TP00897
DC01367	TP00897
DC00178	TP00897
DC00701	TP00897
DC01090	TP00897
DC00551	TP00897
DC00097	TP00897
DC01817	TP00897
DC01548	TP00897
DC01525	TP00897
DC01064	TP00897
DC01219	TP00897
DC01532	TP00897
DC01583	TP00897
DC00751	TP00897
DC00884	TP00897
DC01056	TP00897
DC00746	TP00897
DC01523	TP00897
DC00507	TP00529
DC01973	TP00746
DC01683	TP00982
DC01760	TP01073
DC01544	TP01409
DC01665	TP01469
DC01829	TP00689
DC01395	TP00713
DC00771	TP00529
DC01681	TP00775
DC01386	TP00958
DC01809	TP01113
DC01770	TP01125
DC01497	TP00712
DC00546	TP01430
DC00097	TP00981
DC00452	TP00919
DC01561	TP01532
DC01408	TP00547
DC00546	TP00380
DC01449	TP00315
DC01950	TP00505
DC01209	TP01437
DC00181	TP00486
DC01600	TP01125
DC01476	TP01580
DC01972	TP00942
DC01290	TP00277
DC00508	TP00486
DC01414	TP00732
DC01503	TP00919
DC00038	TP00632
DC01809	TP00985
DC00178	TP01469
