No.,CAS,SMILES,pLD50
114,22644-75-3,COCCC1(C)COC(C)OC1,-3.00
115,22644-77-5,COCCC1(COC(C)OC1)C(C)C,-3.00
116,22644-79-7,CCOCCC1(C)COC(OC1)C(C)C,-2.90
117,22645-27-8,CCC1COC(OC1)C(C)C,-2.90
118,22645-28-9,CCCC1COC(C)OC1,-2.90
119,22645-32-5,CCCCCCC1COC(C)OC1,-2.90
120,22645-34-7,CCCCCCC1COC(OC1)C(C)C,-2.95
121,22645-38-1,CCCC1(COC)COC(C)OC1,-3.08
122,22645-40-5,COCC1(COC(C)OC1)C(C)C,-3.08
123,22645-42-7,CCCC1(COC)COC(OC1)C(C)C,-3.18
124,22927-78-2,COc1ccc(cc1)C2(C)NC(=O)NC2=O,-3.00
125,25384-32-1,CCCC(C)(CO)COC(=O)NC(C)CC,-2.62
126,25384-36-5,CCCCCNC(=O)OCC(C)(CO)CCC,-2.79
127,25384-38-7,CCCC(C)(CO)COC(=O)NCc1ccccc1,-2.62
128,25384-41-2,CCCCN(CCCC)C(=O)OCC(C)(CO)CCC,-2.62
129,25384-42-3,CCCC(C)(CO)COC(=O)N1CCOCC1,-2.45
130,25384-47-8,CCC(C)C(C)(CO)COC(=O)NC(C)C,-2.45
131,25384-54-7,CCCCC(CC)(CO)COC(=O)NCCC,-2.62
132,25384-58-1,CCCNC(=O)OCC(CO)(c1ccccc1)c2ccccc2,-2.62
133,25384-60-5,CNC(=O)OCC(CO)(c1ccc(C)cc1)c2ccc(C)cc2,-3.15
134,25384-62-7,CCCC(C)C(CNC(=O)O)COC(=O)NCC#C,-2.62
135,25384-82-1,CCCC(C)(CNC(=O)O)COC(=O)NC(C)CC,-2.62
136,25384-83-2,CCCC(C)(COC(=O)N)COC(=O)NCC(C)C,-2.97
137,25384-84-3,CCCC(C)(CNC(=O)O)COC(=O)NCC=CC,-2.97
138,25384-87-6,CCCCCNC(=O)OCC(C)(CCC)COC(=O)N,-2.97
139,25384-88-7,CCCC(C)(CNC(=O)O)COC(=O)NCCC(C)C,-2.97
140,25384-90-1,CCCC(C)(COC(=O)N)COC(=O)NCc1ccccc1,-3.15
141,25384-92-3,CCCC(C)(COC(=O)N)COC(=O)Nc1cccnc1,-2.45
142,25384-94-5,CNC(=O)OCC(C)(CNC(=O)O)C(C)C,-2.79
143,25385-11-9,CC(C)CC(C)(CNC(=O)O)COC(=O)NCC#C,-2.62
144,25385-14-2,CC(COC(=O)N)(COC(=O)NCC#C)c1ccccc1,-2.97
145,25385-16-4,CCNC(=O)OCC(CC)(CC)COC(=O)N,-2.97
146,25450-86-6,CCC(CCl)(COC(=O)N)COC(=O)N,-2.79
147,25450-93-5,CCCCCC(CC)(CO)CO,-2.45
148,25450-96-8,CCC(CO)(CO)CCC(C)C,-2.45
149,25450-97-9,CCC(CC)C(CC)(COC(=O)N)COC(=O)N,-2.62
150,25450-98-0,CCC(COC(=O)N)(COC(=O)N)C1CCCCC1,-2.62
151,25450-99-1,CCC(CO)(CO)C1CCCCC1,-2.45
152,25451-01-8,CCC(CO)(CO)c1ccc(cc1)[N+](=O)[O-],-2.62
153,25451-04-1,CCC(CO)(CO)c1ccc(N)cc1,-2.79
154,25451-09-6,Cc1ccc(cc1)C(CO)(CO)c2ccc(C)cc2,-2.45
155,25451-10-9,CC(COC(=O)N)COC(=O)N,-3.51
156,25451-16-5,NC(=O)OCC(COC(=O)N)Oc1ccccc1,-2.79
157,25451-32-5,CC(=C)CC(CCOC(=O)N)OC(=O)N,-2.79
158,25451-37-0,CCOC(CC)(COC(=O)N)COC(=O)N,-3.15
159,25451-41-6,CCC(COC(=O)N)(COC(=O)N)c1ccsc1,-2.62
160,25451-45-0,Cc1ccc(cc1)C(COC(=O)N)(COC(=O)N)c2ccc(C)cc2,-2.62
161,25451-53-0,NC(=O)OCC(CO)c1ccccc1,-2.62
162,25451-62-1,CCC(CO)(COC(=O)N)Oc1ccccc1,-2.79
163,25451-65-4,CCC(CO)COC(=O)Nc1ccccc1,-2.62
164,25451-66-5,CCCC(C)(CO)COC(=O)Nc1ccccc1,-2.62
165,25451-67-6,CCC(CC)(CO)COC(=O)Nc1ccccc1,-2.62
166,25451-70-1,NC(=O)OCC(COC(=O)Nc1ccccc1)c2ccccc2,-2.79
167,25451-73-4,CCCC(C)(COC(=O)N)COC(=O)Nc1ccccc1,-2.62
168,25451-74-5,CC(C)C(C)(COC(=O)N)COC(=O)Nc1ccccc1,-2.62
169,25451-75-6,CCCCC(C)(COC(=O)N)COC(=O)Nc1ccccc1,-2.79
170,25451-77-8,CCCCC(CC)(COC(=O)N)COC(=O)Nc1ccccc1,-2.62
171,25457-63-0,CC(C)C(COC(=O)N)COC(=O)N,-3.51
172,25457-64-1,CCC(COC(=O)N)(COC(=O)Nc1ccccc1)c2ccccc2,-2.79
173,25457-65-2,NC(=O)OCC(COC(=O)Nc1ccccc1)(c2ccccc2)c3ccccc3,-2.62
174,25462-09-3,CCC(CO)COC(=O)N(C)C,-2.79
175,25462-15-1,CCCC(C)(CO)COC(=O)NC,-2.79
176,25462-16-2,CCCC(C)(CO)COC(=O)NCC,-2.45
177,25462-17-3,CCCC(C)(CO)COC(=O)NC(C)C,-2.62
178,25462-27-5,CC(C)CCC(CO)CO,-2.45
179,25462-28-6,CCC(CC)C(CO)CO,-2.45
180,25462-29-7,CCC(CC)C(COC(=O)N)COC(=O)N,-2.62
181,25462-30-0,NC(=O)OCC(COC(=O)N)C1CCC=C1,-2.62
182,25462-35-5,Cc1ccc(cc1)C(COC(=O)N)COC(=O)N,-2.62
183,25462-37-7,CC(CO)(CO)CC=C,-2.45
184,25462-38-8,OCC(CO)CCCc1ccccc1,-2.45
185,25462-39-9,CC(COC(=O)N)(COC(=O)N)CC=C,-2.45
186,25462-40-2,CC(COC(=O)N)(COC(=O)N)CC#C,-2.62
187,25462-41-3,CC(CO)(CO)CC#C,-2.62
188,25462-50-4,CC(C)CCC(C)(CO)CO,-2.45
189,25462-52-6,CCC(CC)C(C)(CO)CO,-2.45
190,25480-64-2,CCC(CC)C(CC)(CO)CO,-2.45
191,25480-65-3,CCCCSc1ccc(cc1)C(CC)(CO)CO,-2.79
192,25480-66-4,CCC(COC(=O)N)COC(=O)N,-3.51
193,25525-87-5,CCOC(=O)C1CCCN=C(N)N1,-1.76
194,25642-68-6,CCNC(=O)OCC(CC)(CNC(=O)O)c1ccccc1,-2.45
195,25642-69-7,CNC(=O)OCC(COC(=O)N)(c1ccccc1)c2ccccc2,-2.79
196,25642-70-0,CCCNC(=O)OCC(COC(=O)N)(c1ccccc1)c2ccccc2,-2.62
197,25642-71-1,CCC(COC(=O)N)COC(=O)N(C)C,-2.79
198,25648-67-3,CC(C)C(OC(=O)NCCCl)C(C)COC(=O)NCCCl,-2.62
199,25648-70-8,CCC(=O)NC(=O)OCC(C)C(OC(=O)NC(=O)CC)C(C)C,-3.15
200,25648-71-9,CC(C)C(OC(=O)NC(=O)C(C)Br)C(C)COC(=O)NC(=O)C(C)Br,-3.15
201,25648-81-1,CCCC(C)(COC(=O)NCC(=O)O)COC(=O)NCC(=O)O,-2.97
202,25648-82-2,CCCC(C)(COC(=O)NCC(=O)OCC)COC(=O)NCC(=O)OCC,-2.79
203,25648-86-6,CCC(C)C(C)(COC(=O)NC(=O)CC)COC(=O)NC(=O)CC,-3.15
204,25648-89-9,CCC(COC(=O)NC(=O)CC)C(OC(=O)NC(=O)CC)C(C)C,-3.15
205,25648-91-3,CCCC(C)(COC(=O)NC(C)C)CN(C(=O)O)C(=O)CC,-3.15
206,25648-93-5,CCCCN(CC(C)(CCC)COC(=O)NCCC(C)C)C(=O)O,-2.79
207,25648-97-9,CCCNC(=O)OCC(C)(CCC)CCN(C)C(=O)O,-2.62
208,25648-98-0,CCCC(C)(COC(=O)N(CC)CC)CN(CC)C(=O)O,-2.62
209,25648-99-1,CCCN(CC(C)(CCC)COC(=O)N(CC)CC)C(=O)O,-2.62
210,25649-05-2,CC(C)C(OC(=O)N1CCCCC1)C(C)COC(=O)N2CCCCC2,-2.62
211,25649-06-3,CC(C)C(OC(=O)N(CCCl)CCCl)C(C)COC(=O)N(CCCl)CCCl,-2.79
212,25652-05-5,CC(C)NNC(=O)OCC(C)C(OC(=O)NNC(C)C)C(C)C,-2.79
213,25652-09-9,COCNC(=O)OCC(C)C(OC(=O)NCOC)C(C)C,-2.62
214,25658-34-8,CCCC(C)(COC(=O)NC(C=O)C(O)C(O)C(O)CO)COC(=O)NC(C=O)C(O)C(O)C(O)CO,-2.62
215,26281-33-4,NC1=NCCCCN1,-2.38
216,26281-34-5,COC(=O)C1CCCNC(=[NH+])N1,-1.83
217,26281-64-1,CC(C)OC(=O)C1CCCN=C(N)N1,-1.62
218,26345-29-9,CCCC(C)(CO)COC(=O)N(CC)CC,-2.62
219,30015-57-7,CC1(C)CC2CCN1C(C)(C)C2,-2.54
220,33024-89-4,CCCCn1cnc(c1)c2ccc(OCC=C)cc2,-2.57
221,33624-74-7,CCCCn1cnc(c1)c2ccc(OCc3ccccc3)cc2,-3.10
222,33624-75-8,CCCCn1cnc(c1)c2ccc(OCC)cc2,-2.53
223,33673-01-7,CCC(C)C(CO)CO,-2.45
224,34947-51-8,COc1cc(cc(OC)c1OC)C2C3=C(O)CC(C)(C)CC3=NC4=C2C(=O)C(C)C4=O,-2.32
225,40405-63-8,CCCCn1cnc(c1)c2ccc(OC)cc2,-2.66
226,40405-65-0,CCCCn1cnc(c1)c2ccc(OCCC)cc2,-2.63
227,40405-67-2,CCCCOc1ccc(cc1)c2cn(CCCC)cn2,-2.62
228,40405-68-3,CCCCn1cnc(c1)c2ccc(OCCC(C)C)cc2,-2.68
229,40405-70-7,CCCCCCOc1ccc(cc1)c2cn(CCCC)cn2,-2.63
230,40405-75-2,COc1ccc(cc1)c2cn(C)cn2,-2.65
231,41040-70-4,CC1(CCC2OCC(C[N+](C)(C)C)O2)OCC(C[N+](C)(C)C)O1,-1.34
232,41040-74-8,CC1(CCC2OCC(C[N+]3(C)CCCCC3)O2)OCC(C[N+]4(C)CCCCC4)O1,-0.61
233,41040-76-0,CC1(CCC(=O)OCC[N+](C)(C)C)OCC(C[N+](C)(C)C)O1,-2.31
234,41040-78-2,CC1(CCC(=O)OCC[N+]2(C)CCCC2)OCC(C[N+]3(C)CCCC3)O1,-1.64
235,41040-80-6,CC1(CCC(=O)OCC[N+]2(C)CCCCC2)OCC(C[N+]3(C)CCCCC3)O1,-1.30
236,42973-01-3,CCN(CC)CCNC(=O)C(C)(C)Oc1ccc(Cl)cc1,-2.15
237,42973-05-7,CCN(CC)CCNC(=O)COc1ccc(cc1)c2ccccc2,-2.00
238,49593-93-3,CCCCCCCCOP1(=O)CCC=C1,-2.19
